cell,tsne_x,tsne_y,cluster
"Ute_P1_tdTom_9",-3.17870779539402,3.87414383947768,1
"Ute_P1_Neg_8",-0.0328554949281135,-0.295691402988995,1
"Co_P1_FA_GFP_6",3.20512156848781,-1.59642651432351,3
"Ute_P1_tdTom_0",3.07079281374122,4.84430380754749,2
"Ute_P1_Neg_1",3.67814242825594,4.78176586729208,2
"Ute_P1_tdTom_6",-0.775321257062439,1.04184132736117,1
"Ute_P1_tdTom_10",-0.830814006619846,3.40448123813873,1
"Ute_P1_Neg_9",0.607585242276132,-3.89289108283327,2
"Co_P1_FA_GFP_7",0.255530480862601,-2.47180408043151,3
"Ute_P1_tdTom_1",-0.831491216360515,2.29850414378773,1
"Ute_P1_Neg_4",0.267346544171742,-0.182373341975054,1
"Ute_P1_GFP_2",3.15619975686615,4.10453279616666,2
"Ute_P1_Neg_10",7.03681087923087,4.60952023425892,6
"Ute_P1_GFP_6",2.26247513448487,4.0825262060407,2
"Ute_P1_tdTom_14",-1.4334256335546,2.25351314998523,1
"Ute_P1_tdTom_15",-0.532271068664861,0.0249060807950554,1
"Ute_P1_GFP_18",1.02809932422819,0.488568415927734,1
"Ute_P1_Neg_11",0.557059047839855,4.23620091617598,2
"Ute_P1_GFP_10",3.8437907688408,6.10394925678682,2
"Ute_P1_GFP_13",0.35294913312113,0.732872108948442,1
"Ute_P1_GFP_16",1.02606371110609,1.66358281605078,1
"Ute_P1_Neg_14",2.02575720754093,4.6097456077552,2
"Ute_P1_GFP_14",3.00307785029746,5.36188934823962,2
"Ute_P1_GFP_17",0.953359880742611,1.87522851581639,2
"Ute_P1_GFP_19",1.40326837261839,3.30124066152738,2
"Ute_P1_Neg_12",2.77954494730452,2.82526092537325,2
"Ute_P1_Neg_15",6.67950792442273,4.47156796975494,6
"Ute_P1_Neg_17",3.94950044839246,1.86504017624701,2
"Ute_P1_tdTom_16",-2.24005557861595,1.76219548141044,1
"Ute_P1_tdTom_13",-1.95027353258524,2.88170640052127,1
"Ute_P1_GFP_11",4.05865372400471,5.48523607589392,2
"Ute_P1_Neg_18",2.70876606188428,1.86572906317126,2
"Ute_P1_Neg_20",1.53288431232865,3.93043673260418,2
"Ute_P1_tdTom_18",-3.46124223369036,0.988532191150114,1
"Ute_P1_Neg_13",4.77467683911178,8.42117758418546,2
"Ute_P1_GFP_8",0.2207941998647,1.13761665154707,1
"Ute_P1_Neg_21",0.283132990881228,4.45390156620796,2
"Ute_P1_GFP_20",0.999484735932274,0.844271513000512,2
"Ute_P1_GFP_7",2.7862005466441,5.51643566456992,2
"Ute_P1_Neg_16",3.60854063303101,6.11996742623057,2
"Ute_P1_GFP_12",2.90151749054759,5.08396769032976,2
"Ute_P1_Neg_19",3.22308486849692,1.6592058393881,2
"Ute_P1_tdTom_17",-1.83121964603128,1.36627423341339,1
"Ute_P1_GFP_9",3.93835146141422,6.99060624979075,2
"Ute_P1_GFP_15",1.63663444887498,1.47290462282623,2
"Ute_P1_GFP_21",-0.0918895557089473,0.951623646155711,2
"Ute_P1_GFP_22",2.0791341331214,1.72002296478169,2
"Ute_P1_Neg_24",3.35902930556162,2.99326220486921,2
"Ute_P1_tdTom_26",-2.58646803866536,2.54200067651332,1
"Ute_P1_tdTom_33",-4.19438653750933,2.99844022516834,1
"Ute_P1_tdTom_40",-3.90509047455046,3.39927832167859,1
"Ute_P1_GFP_32",-0.0703500586049795,-0.0555968229722837,1
"Ute_P1_GFP_23",-0.0327514207077494,-0.226644665823193,1
"Ute_P1_tdTom_22",-2.92562575460505,2.47892098629764,1
"Ute_P1_tdTom_27",-0.645557342148578,1.72857097523113,1
"Ute_P1_tdTom_34",-2.04017213523749,3.01482512827224,1
"Ute_P1_Neg_26",6.87937060687175,4.52341374673764,6
"Ute_P1_tdTom_43",-1.61168628868294,1.70179076034138,1
