"","V1","V2","V3","V4","V5","V6","V7","V8"
"EXOSC6",3388,1272,509,239,402,194,74,0
"EXOSC7",2237,741,428,103,244,206,58,0
"EXOSC8",5682,2242,949,297,616,431,91,0
"EXOSC9",4896,2124,884,298,572,336,62,0
"EXT1A",1362,471,203,94,167,144,42,0
"EXT1B",147,45,21,14,15,16,9,0
"EXT1C",400,176,91,56,67,73,5,0
"EXT2",568,192,113,80,60,91,5,0
"EXTL2",43,11,43,15,9,24,0,0
"EXTL3",244,149,73,59,41,35,6,0
"EYA1",197,34,47,34,5,63,3,0
"EYA2",91,13,20,10,5,14,0,0
"EYA3",6176,2319,1089,596,824,690,125,0
"EYA4",56,40,9,0,2,17,0,0
"EZH1",54,9,10,1,7,1,0,0
"EZH2",5580,2034,999,469,884,601,92,0
"EZRA",19,3,0,0,1,4,0,0
"EZRB",801,279,166,90,141,104,9,0
"F11R",1280,436,286,383,126,407,16,0
"F11RL",17,7,1,7,3,2,0,0
"F13A1A.1",24,15,3,3,4,1,0,0
"F13A1B",747,241,135,97,100,77,22,0
"F2",12,22,1,13,0,8,2,0
"F2R",18,1,4,0,0,7,0,0
"F2RL1.1",260,100,22,11,52,48,2,0
"F2RL1.2",221,71,14,67,16,38,11,0
"F3A",15,0,0,0,0,1,0,0
"F3B",330,79,21,40,34,28,7,0
"F5",51,18,0,3,4,0,0,0
"F7I",128,45,29,23,14,18,3,0
"F9A",14,5,0,0,6,3,7,0
"F9B",2,0,0,0,4,0,0,0
"FA2H",85,27,41,109,11,32,0,0
"FAAH",18,5,0,0,0,0,0,0
"FAAH2A",61,21,2,2,8,0,0,0
"FAAH2B",1426,583,296,136,230,98,27,0
"FABP10A",3,0,0,0,0,1,0,0
"FABP11A",115,41,34,7,21,3,0,0
"FABP11B",3,0,0,0,0,0,2,0
"FABP1A",1,0,0,0,0,0,0,0
"FABP1B.1",2,0,1,0,0,0,0,0
"FABP2",63,6,1,5,0,0,0,0
"FABP3",7265,2659,1424,558,978,677,85,0
"FABP7A",170,71,43,25,16,30,1,0
"FABP7B",49,8,9,1,13,6,0,0
"FADS2",13,1,3,0,0,0,0,0
"FAF1",2432,824,478,187,368,265,47,0
"FAF2",10565,4235,2050,827,1350,846,202,0
"FAH",6,0,0,1,0,0,0,0
"FAHD1",676,287,35,44,103,37,11,0
"FAHD2A",147,34,3,28,6,14,6,0
"FAIM2A",75,8,2,15,7,1,0,0
"FAIMA",135,61,14,20,27,18,4,0
"FAIMB",34,2,0,0,0,1,0,0
"FAM101A",2,3,3,0,0,0,0,0
"FAM102AB",124,46,10,6,5,31,0,0
"FAM102BA",13,4,5,0,6,3,0,0
"FAM102BB",29,5,6,1,0,0,7,0
"FAM107B",2145,628,321,140,342,179,23,0
"FAM110B",145,62,29,6,15,29,2,0
"FAM113",1649,634,301,133,176,114,33,0
"FAM114A1",505,212,97,57,68,109,8,0
"FAM117AB",568,180,171,44,52,113,15,0
"FAM120B",310,98,34,48,49,33,4,0
"FAM122B",164,85,32,43,35,0,2,0
"FAM126A",259,57,25,13,8,13,1,0
"FAM129AA",5,0,7,1,0,0,0,0
"FAM129BA",197,61,19,23,12,36,3,0
"FAM131A",744,265,145,158,112,81,13,0
"FAM131C",20,11,13,0,2,3,0,0
"FAM132A",5,0,0,0,0,0,0,0
"FAM133B",17849,5910,2851,1555,2404,879,513,0
"FAM134A",450,134,131,36,65,47,15,0
"FAM136A",2403,792,425,137,275,100,23,0
"FAM13B",55,4,10,12,5,0,8,0
"FAM149B1",40,6,13,0,7,0,0,0
"FAM151A",5,10,0,0,0,0,0,0
"FAM151B",46,23,15,0,23,0,0,0
"FAM154B",23,4,3,1,0,1,0,0
"FAM155B",51,15,23,12,7,0,0,0
"FAM160A2",197,43,41,4,36,6,4,0
"FAM160B1",900,300,115,119,103,119,11,0
"FAM160B2",86,57,1,6,2,19,3,0
"FAM162A",543,281,189,72,82,52,9,0
"FAM166B",10,21,9,2,1,0,0,0
"FAM167AA",31,29,23,0,1,11,0,0
"FAM167AB",163,50,23,38,14,10,4,0
"FAM168A",76,20,20,3,3,1,3,0
"FAM168B",700,297,142,85,118,120,6,0
"FAM169AA",71,21,37,2,9,1,0,0
"FAM172A",193,128,36,31,29,28,1,0
"FAM173A",123,105,46,16,16,15,1,0
"FAM173B",794,307,172,28,177,112,27,0
"FAM174B",508,223,87,89,60,65,9,0
"FAM175A",968,236,192,65,198,89,2,0
"FAM175B",318,106,57,6,4,15,8,0
"FAM177A1",1715,630,289,117,233,106,44,0
"FAM184B",37,36,13,4,16,0,0,0
"FAM188A",239,82,37,10,11,20,1,0
"FAM192A",453,154,146,30,56,41,4,0
"FAM195B",4216,1410,618,313,383,345,54,0
"FAM199X",504,286,93,82,63,48,9,0
"FAM19A4B",6,1,1,0,0,0,0,0
"FAM19A5",7,3,4,1,0,1,0,0
"FAM204A",91,28,10,6,18,31,0,0
"FAM206A",875,234,178,24,110,38,15,0
"FAM20A",9,0,11,1,1,0,0,0
"FAM20B",188,72,71,26,31,21,0,0
"FAM210A",328,79,83,27,45,26,0,0
"FAM210B",1659,592,288,82,236,172,55,0
"FAM212AA",8087,4749,707,872,1014,914,62,0
"FAM212AB",949,170,163,71,32,22,29,0
"FAM213AA",1136,426,243,139,217,142,42,0
"FAM213AB",39,12,5,5,0,4,0,0
"FAM213B",1004,403,200,170,189,116,33,0
"FAM214A",367,122,57,101,23,57,1,0
"FAM219AA",125,94,35,1,18,46,0,0
"FAM219AB",2,3,0,1,1,0,0,0
"FAM219B",469,309,62,48,79,16,0,0
"FAM221A",57,11,31,8,1,25,0,0
"FAM222A",25,0,14,5,15,0,0,0
"FAM222BA",152,45,31,12,13,18,1,0
"FAM228A",2,0,0,0,0,11,0,0
"FAM26E.1",84,38,14,19,5,33,0,0
"FAM26F",6,0,2,1,3,0,0,0
"FAM32A",14461,5048,2555,1244,2032,1611,285,0
"FAM35A",287,113,60,16,36,78,1,0
"FAM3A",3306,1011,661,374,340,249,33,0
"FAM3C",3042,1131,716,304,433,329,70,0
"FAM43A",6,4,0,0,1,14,0,0
"FAM43B",4,1,0,0,0,0,0,0
"FAM46AB",6,3,1,0,0,0,0,0
"FAM46BA",6365,2291,1256,308,810,614,106,0
"FAM46BB",269,77,48,46,42,26,0,0
"FAM46C",5074,1837,705,463,735,564,82,0
"FAM49A",12,2,7,2,0,1,1,0
"FAM49BA",4581,1433,883,391,671,466,80,0
"FAM49BB",31,5,0,11,2,11,0,0
"FAM50A",8334,2814,1565,848,1313,806,231,0
"FAM53B",7267,2288,1447,562,975,436,151,0
"FAM57BA",86,8,24,23,22,24,0,0
"FAM58A",1835,589,317,82,254,153,38,0
"FAM60A",65,59,5,0,7,1,1,0
"FAM60AL",1287,422,227,150,130,194,32,0
"FAM63A",1127,559,288,75,173,114,19,0
"FAM65A",1348,468,240,240,244,163,29,0
"FAM65B",126,69,27,7,21,12,7,0
"FAM69A",525,130,113,22,42,43,3,0
"FAM69B",8,0,0,6,0,5,0,0
"FAM73A",890,144,134,62,84,87,19,0
"FAM73B",76,9,4,3,1,0,9,0
"FAM76B",5984,2176,1089,533,1059,775,143,0
"FAM78AA",30,24,15,0,6,13,0,0
"FAM78AB",2,2,0,0,0,2,0,0
"FAM78BB",2,0,0,4,3,0,0,0
"FAM83D",1659,630,324,120,315,166,31,0
"FAM83FB",15,0,1,0,1,0,0,0
"FAM84A",398,181,208,57,116,53,7,0
"FAM84B",772,362,172,65,133,139,19,0
"FAM86A",667,147,94,72,117,49,8,0
"FAM8A1",379,70,22,36,35,22,0,0
"FAM91A1",473,236,67,63,63,59,31,0
"FAM92A1",254,60,77,15,10,43,8,0
"FAM96B",512,159,105,67,38,81,20,0
"FAM98B",425,121,112,33,100,43,9,0
"FAN1",317,80,53,18,37,38,5,0
"FANCA",257,109,68,9,37,31,2,0
"FANCB",108,3,0,0,1,7,0,0
"FANCC",53,3,14,6,0,13,0,0
"FANCD2",104,28,27,6,6,31,0,0
"FANCE",65,26,19,1,0,2,3,0
"FANCF",456,143,53,29,31,48,4,0
"FANCG",640,325,95,55,101,100,2,0
"FANCI",536,125,110,41,51,78,6,0
"FANCL",211,28,31,13,12,17,1,0
"FANCM",27,4,3,1,1,1,0,0
"FAR1",182,103,32,3,10,11,8,0
"FARS2",37,10,6,0,0,0,0,0
"FARSA",2452,647,589,204,302,148,63,0
"FARSB",380,194,111,18,30,106,19,0
"FASTK",586,202,154,44,96,72,33,0
"FASTKD1",164,61,28,0,29,12,0,0
"FAT1A",347,77,54,27,129,18,14,0
"FAT3A",18,5,1,6,18,36,0,0
"FAUA",1242,345,199,104,154,92,50,0
"FAUB",19133,6263,3388,1556,2390,1302,399,0
"FAXDC2",121,58,28,18,29,22,2,0
"FB06F03",16566,5387,3140,1342,2414,1677,364,0
"FBL",22518,7180,4205,2156,3028,2868,431,0
"FBLIM1",159,77,28,19,22,8,0,0
"FBLN5",27,10,0,2,0,1,0,0
"FBN2B",31,2,16,3,3,0,1,0
"FBP1A",85,62,20,1,1,9,0,0
"FBP1B",96,35,52,27,17,171,15,0
"FBP2",2,1,0,2,0,2,0,0
"FBXL14A",2928,1021,431,245,388,221,44,0
"FBXL14B",194,34,21,4,28,49,6,0
"FBXL15",5,0,0,1,17,7,0,0
"FBXL16",28,11,3,2,0,0,0,0
"FBXL18",428,286,64,88,31,92,11,0
"FBXL2",630,243,64,33,42,75,13,0
"FBXL3A",256,66,25,12,39,6,2,0
"FBXL3B",33,6,1,3,5,4,0,0
"FBXL4",204,67,5,16,11,4,14,0
"FBXL8",21,0,27,2,0,1,0,0
"FBXO11A",1089,333,185,102,183,93,19,0
"FBXO16",47,23,0,1,3,0,0,0
"FBXO18",699,181,244,82,112,115,22,0
"FBXO22",857,396,197,93,103,95,24,0
"FBXO25",62,34,23,8,8,11,5,0
"FBXO3",419,160,59,10,41,14,15,0
"FBXO30A",284,94,34,55,31,26,10,0
"FBXO30B",544,110,58,49,109,26,20,0
"FBXO32",588,320,98,111,119,118,2,0
"FBXO36A",6,9,0,4,0,4,0,0
"FBXO40.1",21,6,5,4,0,0,0,0
"FBXO42",501,147,137,100,55,89,20,0
"FBXO43",1477,593,295,143,144,197,40,0
"FBXO44",320,189,87,8,20,59,5,0
"FBXO45",1190,401,256,86,146,128,12,0
"FBXO5",8249,2701,1227,721,1090,1076,210,0
"FBXO7",867,289,164,84,170,71,19,0
"FBXO8",27,11,2,4,11,28,0,0
"FBXO9",891,302,144,116,155,118,33,0
"FBXW11A",978,401,180,73,92,95,9,0
"FBXW11B",3097,1262,514,299,457,274,65,0
"FBXW2",1330,538,273,80,134,92,15,0
"FBXW4",594,169,59,95,82,81,17,0
"FBXW5",1054,340,177,76,121,161,35,0
"FBXW8",862,253,134,72,102,62,8,0
"FCER1G",3,1,0,0,1,0,0,0
"FCER1GL",9,7,6,0,0,0,0,0
"FCF1",2357,855,622,331,393,230,37,0
"FCHO2",430,134,80,28,88,44,11,0
"FDFT1",88,29,23,2,1,10,21,0
"FDPS",3820,1529,598,335,499,370,57,0
"FDX1B",25,8,1,1,1,0,0,0
"FDX1L",3141,1224,550,218,352,196,68,0
"FECH",500,114,80,39,54,35,3,0
"FEM1A",31,14,0,3,5,4,1,0
"FEM1C",1229,307,242,148,160,84,23,0
"FEN1",10293,3487,1787,643,1229,741,230,0
"FEP15",7,9,0,3,1,0,0,0
"FERMT2",1669,617,301,122,202,123,22,0
"FERMT3B",30,10,6,4,3,1,0,0
"FES",1,0,2,0,0,0,0,0
"FEV",11,11,3,0,0,17,0,0
"FEZ1",15,5,4,0,0,0,0,0
"FEZF1",0,2,0,0,0,0,0,0
"FEZF2",48,13,2,0,0,0,0,0
"FGA",14,13,1,3,1,0,1,0
"FGB",6,0,0,0,0,0,0,0
"FGD",38,18,6,2,3,2,0,0
"FGD4A",53,16,4,8,6,4,0,0
"FGD6",98,42,36,1,7,16,1,0
"FGF10A",10,1,0,0,0,0,0,0
"FGF10B",0,0,0,0,1,0,0,0
"FGF12A",92,75,26,21,22,66,0,0
"FGF12B",19,0,5,4,3,16,0,0
"FGF13A",15,11,4,0,2,4,0,0
"FGF13B",5,0,5,0,0,0,0,0
"FGF14",22,1,0,0,0,5,0,0
"FGF16",1,0,0,0,1,0,0,0
"FGF17",1204,422,750,191,262,167,14,0
"FGF18A",20,0,0,0,4,0,0,0
"FGF19",34,1,44,0,0,0,0,0
"FGF1A",144,71,31,28,18,10,1,0
"FGF1B",114,31,47,22,24,24,2,0
"FGF2",1,0,0,0,0,0,0,0
"FGF20B",1,2,3,0,0,0,0,0
"FGF22",1,0,0,0,0,3,0,0
"FGF24",160,26,91,22,53,25,2,0
"FGF3",46,4,40,0,2,0,0,0
"FGF4",91,12,87,6,3,17,0,0
"FGF5",18,1,2,4,0,2,0,0
"FGF6A",14,26,2,1,2,1,0,0
"FGF6B",3,3,0,0,0,0,0,0
"FGF8A",717,49,1046,143,119,236,20,0
"FGF8B",2,3,0,0,0,0,0,0
"FGFBP2B",90,36,7,9,8,14,3,0
"FGFR1A",368,187,59,31,54,31,6,0
"FGFR1B",452,175,33,21,43,52,5,0
"FGFR1OP",529,151,68,39,82,9,16,0
"FGFR1OP2",2292,781,436,242,258,171,71,0
"FGFR2",80,53,9,19,27,9,0,0
"FGFR3",9,3,8,3,1,0,0,0
"FGFR4",3674,1595,626,481,460,324,92,0
"FGFRL1A",21,1,0,0,0,0,3,0
"FGFRL1B",39,29,11,8,10,9,2,0
"FGG",3,1,0,2,0,0,0,0
"FGGY",484,216,101,56,83,74,12,0
"FGL2",194,38,35,45,36,42,0,0
"FH",2113,678,345,143,271,134,23,0
"FHIT",67,14,11,31,0,6,0,0
"FHL1A",10,0,3,2,0,0,0,0
"FHL1B",131,65,44,2,3,20,3,0
"FHL2A",11,1,0,0,1,0,0,0
"FHL2B",11,9,2,1,0,0,0,0
"FHL3B",152,64,32,25,26,8,2,0
"FHL5",2,1,0,0,0,1,0,0
"FIBINB",4,17,1,0,0,0,0,0
"FIBPA",182,105,35,35,17,18,5,0
"FIBPB",24,0,0,0,0,0,0,0
"FICD",449,153,72,90,47,79,12,0
"FIGF",11,0,0,0,0,0,0,0
"FIGLA",112,47,28,19,22,14,9,0
"FIGN",65,11,5,14,8,6,0,0
"FIGNL1",155,61,50,20,17,27,0,0
"FIP1L1B",4462,1449,826,393,485,306,82,0
"FITM1",8,18,0,0,0,0,0,0
"FITM2",70,52,11,0,14,38,0,0
"FKBP10B",439,293,94,81,41,49,36,0
"FKBP11",82,24,44,17,8,23,1,0
"FKBP14",897,283,136,114,184,121,13,0
"FKBP1AA",5551,1586,867,392,774,427,132,0
"FKBP1AB",607,159,189,38,53,50,9,0
"FKBP1B",0,1,0,0,0,0,0,0
"FKBP2",2433,1303,502,190,430,337,49,0
"FKBP3",452,125,93,64,105,78,15,0
"FKBP4",2665,857,462,169,270,454,93,0
"FKBP5",78,25,9,3,3,5,6,0
"FKBP6",243,118,50,18,3,42,3,0
"FKBP7",2454,887,316,197,287,139,21,0
"FKBP8",334,175,71,32,77,38,11,0
"FKBP9",111,25,17,7,14,2,1,0
"FKRP",43,29,5,7,7,8,0,0
"FKTN",610,157,102,87,76,51,3,0
"FLAD1",163,74,17,11,0,30,0,0
"FLCN",171,27,16,3,1,26,0,0
"FLI1A",8,3,17,1,1,2,0,0
"FLI1B",174,115,14,38,23,22,1,0
"FLII",2030,695,376,184,212,149,44,0
"FLJ11011L",354,200,20,7,43,30,0,0
"FLJ13639",1,0,2,0,0,0,0,0
"FLOT1A",502,310,82,50,69,47,8,0
"FLOT1B",6489,2045,1280,822,837,467,138,0
"FLOT2A",1881,626,185,92,105,124,64,0
"FLOT2B",501,257,110,15,42,23,6,0
"FLR",484,140,160,31,52,41,12,0
"FLRT2",11,6,0,7,0,1,0,0
"FLRT3",1411,116,1741,143,120,167,20,0
"FLT1",6,0,11,0,5,0,0,0
"FLT4",93,12,17,12,22,23,0,0
"FLVCR1",4,3,9,1,0,0,0,0
"FMO5",243,15,6,8,2,1,7,0
"FMODA",22,23,0,1,0,11,0,0
"FMR1",1676,522,210,115,165,199,78,0
"FN1A",640,183,76,43,57,80,10,0
"FN1B",57,15,8,10,7,14,1,0
"FN3KRP",378,146,33,54,74,18,11,0
"FNBP1A",4,17,0,0,0,0,0,0
"FNBP1L",14136,5161,2748,1262,1786,1322,312,0
"FNDC3BA",82,64,29,22,7,24,0,0
"FNDC5B",30,3,12,4,3,0,0,0
"FNIP1",49012,18316,9351,4286,6497,2316,867,0
"FNTA",3425,1189,612,323,470,316,90,0
"FNTB",4937,1701,977,448,552,369,119,0
"FOS",51,1,3,3,0,3,0,0
"FOSB",11,5,6,2,17,0,0,0
"FOSL1A",35,14,1,0,2,0,0,0
"FOSL2",162,26,28,4,35,3,1,0
"FOXA",102,5,452,8,66,38,8,0
"FOXA1",11,10,6,1,3,2,0,0
"FOXA2",82,7,279,2,89,19,33,0
"FOXA3",1048,232,1911,246,980,252,63,0
"FOXB1A",74,54,68,14,86,24,18,0
"FOXB1B",72,8,39,1,0,3,0,0
"FOXC1A",79,7,248,19,33,6,0,0
"FOXC1B",0,1,0,3,0,0,0,0
"FOXD1",19,14,24,1,1,0,0,0
"FOXD1L",4,5,2,0,7,0,0,0
"FOXD3",417,268,98,47,388,102,11,0
"FOXD5",4249,1384,706,540,1394,564,227,0
"FOXE3",1,0,4,0,0,0,0,0
"FOXF1",16,0,15,0,0,0,0,0
"FOXG1A",14,0,0,0,0,2,0,0
"FOXG1C",0,0,0,1,0,0,0,0
"FOXG1D",5,0,1,1,0,1,0,0
"FOXH1",12403,4224,1351,1058,1545,980,229,0
"FOXI1",979,72,51,50,15,53,10,0
"FOXI3A",9,3,3,0,0,1,0,0
"FOXI3B",0,0,0,0,3,0,0,0
"FOXJ1A",40,17,58,54,16,0,0,0
"FOXJ1B",41,15,4,0,12,41,0,0
"FOXK1",1611,536,255,86,188,140,36,0
"FOXK2",459,155,160,66,64,33,8,0
"FOXL1",0,0,1,0,0,0,0,0
"FOXL2",3,6,0,0,0,0,0,0
"FOXM1",665,280,108,80,63,206,33,0
"FOXN1",13,4,0,0,0,2,0,0
"FOXN2B",320,130,133,29,29,54,2,0
"FOXN3",12,7,1,0,3,2,0,0
"FOXN4",1,3,0,0,1,0,0,0
"FOXO1A",1,0,0,0,0,0,0,0
"FOXO1B",18,12,0,0,2,14,0,0
"FOXO3A",1528,586,167,140,179,196,24,0
"FOXO3B",288,84,29,17,14,12,1,0
"FOXP1A",246,101,60,24,34,23,2,0
"FOXP1B",15,7,0,3,3,2,0,0
"FOXP2",255,61,65,27,76,23,6,0
"FOXP4",14,12,5,5,2,0,0,0
"FOXQ1B",156,70,10,7,12,13,0,0
"FOXQ2",0,0,0,2,0,0,0,0
"FOXRED1",23,0,0,0,1,0,0,0
"FOXRED2",215,49,30,30,42,38,6,0
"FPGS",1189,380,270,79,168,127,26,0
"FPGT",17,10,22,5,6,0,0,0
"FRA10AC1",2298,694,435,148,284,119,36,0
"FRAS1",159,16,30,3,18,21,4,0
"FREM1A",24,11,5,1,0,3,0,0
"FREM1B",110,31,33,8,11,6,6,0
"FREM2A",84,17,34,18,25,6,0,0
"FREM2B",38,46,23,7,4,2,0,0
"FREM3",47,10,1,10,10,3,1,0
"FRMD6",854,292,127,38,121,63,20,0
"FRMD7",41,42,15,1,0,1,0,0
"FRS2A",140,72,53,24,27,14,2,0
"FRS2B",1061,307,167,89,123,155,26,0
"FRYL",420,173,70,51,64,94,3,0
"FRZB",73,13,402,12,46,24,1,0
"FSCN1A",17253,5361,13486,1821,5268,2340,506,0
"FSCN2A",5,3,2,0,0,0,0,0
"FSCN2B",3,1,0,3,2,4,0,0
"FSD1",102,74,7,14,8,0,0,0
"FSHB",8,16,1,2,13,0,0,0
"FSHR",10,1,0,3,0,0,0,0
"FSTA",7,1,5,5,27,1,0,0
"FSTB",8,4,3,0,14,2,0,0
"FSTL1A",10,5,5,0,3,0,0,0
"FSTL1B",185,20,49,1,46,28,9,0
"FSTL3",0,2,1,0,2,0,0,0
"FSTL4",114,49,18,9,25,20,1,0
"FSTL5",28,2,1,2,1,11,0,0
"FT1",34,13,7,4,4,0,0,0
"FT2",0,0,5,0,4,0,0,0
"FTCD",16,9,9,0,0,4,0,0
"FTH1A",31026,10900,6146,2863,4507,3436,756,0
"FTH1B",594,254,108,74,58,55,8,0
"FTR14",41,29,4,3,8,3,5,0
"FTR43",1,0,0,0,0,0,0,0
"FTR50",2,8,0,3,6,0,0,0
"FTR53",33,11,12,13,6,6,0,0
"FTR54",26,6,15,4,7,1,0,0
"FTR67",1222,616,302,125,215,85,26,0
"FTR72",455,130,90,25,28,54,9,0
"FTR82",2179,825,313,972,207,342,36,0
"FTSJ1",4021,1402,650,331,509,363,38,0
"FUBP1",18126,6015,3358,1794,2529,2317,452,0
"FUBP3",196,84,38,29,36,28,18,0
"FUCA1.1",1250,463,217,314,133,279,30,0
"FUCA1.2",198,88,43,29,18,16,3,0
"FUCA2",248,102,60,21,61,13,11,0
"FUNDC1",1312,457,168,88,169,186,13,0
"FUNDC2",2092,505,455,152,254,178,59,0
"FUOM",225,111,61,14,37,16,3,0
"FURINA",337,138,88,24,64,41,16,0
"FURINB",225,115,60,44,79,23,1,0
"FUS",1178,352,246,83,235,271,60,0
"FUT10",43,2,4,2,0,0,1,0
"FUT11",2536,1185,544,291,420,258,66,0
"FUT7",2,0,0,0,0,0,0,0
"FUT8A",29,1,3,1,0,0,0,0
"FUT9A",9,1,0,0,0,2,0,0
"FUT9B",253,90,53,126,33,72,4,0
"FUT9D",50,0,1,87,3,6,0,0
"FXN",204,122,62,7,43,60,0,0
"FXR1",2749,1379,694,333,418,308,29,0
"FXR2",4771,1768,874,472,681,496,102,0
"FXYD1",0,0,0,0,0,3,0,0
"FXYD6",2934,214,504,87,273,25,151,0
"FXYD6L",9564,3620,1813,926,1396,823,163,0
"FYNA",377,183,43,7,61,34,7,0
"FYNB",41,24,3,1,9,13,0,0
"FZD1",14,10,0,1,0,1,0,0
"FZD10",295,15,86,12,37,51,3,0
"FZD2",289,133,62,7,29,34,18,0
"FZD3A",161,105,31,8,37,2,0,0
"FZD3B",86,0,15,2,2,11,1,0
"FZD5",47,21,7,1,10,18,0,0
"FZD6",232,78,50,39,40,15,4,0
"FZD7A",1266,365,552,151,101,114,18,0
"FZD7B",7388,3402,1349,752,974,897,136,0
"FZD8A",274,139,116,23,98,42,7,0
"FZD8B",58,27,119,26,1,28,0,0
"FZD9B",233,45,24,6,16,28,5,0
"FZR1",4663,1746,930,438,593,501,110,0
"G0S2",258,118,47,45,41,42,1,0
"G2E3",568,161,104,40,94,94,12,0
"G3BP1",26788,9088,4734,2311,3685,2786,487,0
"G3BP2",2556,846,450,291,329,258,37,0
"G6FL",0,6,0,4,0,0,0,0
"G6PC3",265,81,73,57,36,37,2,0
"G6PCA.1",3,1,1,1,0,4,0,0
"G6PCA.2",40,12,11,10,8,1,0,0
"GAB1",164,112,46,17,15,18,9,0
"GABARAPA",4360,1622,908,330,594,367,39,0
"GABARAPL2",406,325,108,74,46,71,34,0
"GABBR2",9,7,0,15,4,0,0,0
"GABPA",13212,4130,2643,1173,1824,952,395,0
"GABPB1",9,6,1,2,0,0,0,0
"GABPB2A",3335,1007,712,290,476,288,64,0
"GABPB2B",160,109,83,13,18,20,4,0
"GABRA1",3,0,0,0,1,0,0,0
"GABRA6A",24,9,8,1,8,6,1,0
"GABRB2",60,27,0,4,33,0,0,0
"GABRG2",10,9,1,11,0,1,0,0
"GABRR1",11,0,0,0,0,0,0,0
"GABRR2A",4,0,3,1,0,0,0,0
"GABRR3A",10,0,1,0,0,0,0,0
"GABRZ",15,16,7,9,3,0,0,0
"GAD1B",5,2,0,0,0,2,0,0
"GAD2",115,33,16,20,16,8,1,0
"GADD45AA",192,7,2,25,1,35,0,0
"GADD45AB",29,21,0,0,0,0,7,0
"GADD45BA",2219,532,1986,784,1401,413,136,0
"GADD45BB",652,236,92,403,61,252,12,0
"GADD45G",194,44,15,8,20,9,3,0
"GAL3ST1A",57,15,10,3,4,18,6,0
"GALCA",449,143,55,31,53,87,0,0
"GALCB",510,155,80,44,42,30,30,0
"GALE",3980,1547,650,397,698,215,105,0
"GALK1",155,92,38,7,26,15,1,0
"GALK2",1326,437,383,158,193,63,9,0
"GALM",540,157,134,57,55,90,29,0
"GALNS",53,16,2,14,9,3,3,0
"GALNT10",799,365,168,162,186,75,23,0
"GALNT11",453,130,82,34,65,70,8,0
"GALNT14",12,4,4,0,0,1,1,0
"GALNT18A",4,34,0,7,0,1,0,0
"GALNT2",1894,619,385,172,251,155,19,0
"GALNT6",259,74,44,10,34,54,2,0
"GALNT7",547,166,128,42,64,74,0,0
"GALT",88,19,13,15,8,4,0,0
"GAMT",63,16,17,14,16,23,11,0
"GAP43",29,28,8,5,3,40,1,0
"GAPDH",3761,1846,682,400,522,471,29,0
"GAPDHS",44,3,0,1,3,7,0,0
"GAPVD1",913,350,163,56,140,80,21,0
"GAR1",8256,2752,1552,822,1198,1340,185,0
"GAREM",445,174,63,32,48,34,2,0
"GARNL3",12,0,1,0,0,5,0,0
"GART",444,70,27,32,14,42,0,0
"GAS1A",200,110,16,20,12,11,14,0
"GAS1B",1073,363,127,85,175,70,17,0
"GAS2L3",175,73,23,13,25,8,7,0
"GAS6",95,35,22,1,13,5,0,0
"GAS7A",9,17,1,0,0,0,1,0
"GAS8",572,102,56,35,38,68,3,0
"GATA1A",6,0,6,0,0,5,0,0
"GATA2A",720,100,45,65,26,30,10,0
"GATA2B",31,14,1,0,7,0,0,0
"GATA3",360,155,104,277,55,54,3,0
"GATA4",3,9,0,0,3,0,0,0
"GATA5",1018,60,2528,114,24,180,16,0
"GATA6",433,180,534,79,40,41,15,0
"GATAD1",1319,331,262,92,158,82,14,0
"GATAD2AB",5089,1704,816,400,650,414,152,0
"GATAD2B",53,39,5,7,8,8,1,0
"GATM",140,100,30,49,25,43,14,0
"GATSL2",3380,1215,1323,347,650,500,72,0
"GATSL3",43,19,30,16,28,10,0,0
"GBA3",0,0,0,2,0,0,0,0
"GBAS",4441,1723,929,351,625,314,75,0
"GBGT1L1",21,39,6,1,6,8,0,0
"GBGT1L2",153,79,16,38,18,13,0,0
"GBGT1L3",7,2,0,2,1,0,0,0
"GBGT1L4",869,415,193,68,151,36,8,0
"GBP",7415,2713,1348,828,893,581,130,0
"GBP1",132,51,26,10,29,16,18,0
"GBP4",10,3,4,11,1,5,0,0
"GBX1",358,5,53,8,12,29,6,0
"GBX2",6,5,1,0,0,5,0,0
"GC2",10,1,8,0,2,6,0,0
"GC3",66,40,10,1,4,2,0,0
"GCAT",2265,641,389,240,288,238,36,0
"GCC1",718,245,172,93,85,103,28,0
"GCDH",48,7,0,4,8,0,5,0
"GCDHL",6,0,0,0,0,1,0,0
"GCFC2",424,114,60,29,22,51,19,0
"GCGA",2,1,0,0,0,0,0,0
"GCGB",0,0,1,1,0,1,0,0
"GCH1",18,0,3,14,3,6,1,0
"GCH2",9,5,0,0,7,1,0,0
"GCHFR",65,45,15,10,25,28,0,0
"GCK",17,5,8,3,0,5,0,0
"GCLC",5663,2001,1019,531,809,505,107,0
"GCLM",2088,767,547,237,305,289,31,0
"GCNT4A",40,2,5,20,3,52,0,0
"GCSHA",3195,1258,547,261,470,285,34,0
"GCSHB",3,3,1,0,0,0,0,0
"GDA",33,3,2,5,0,2,0,0
"GDAP1",3,2,0,0,0,0,0,0
"GDAP2",360,187,97,32,65,77,1,0
"GDE1",850,347,281,64,182,175,63,0
"GDF10B",2,14,7,0,1,3,0,0
"GDF11",9,16,0,0,0,0,0,0
"GDF2",20,0,0,0,0,0,0,0
