"","V1","V2","V3","V4","V5","V6","V7","V8"
"RGCC",6037,1729,412,297,394,188,110,0
"RGL1",820,297,163,71,96,48,35,0
"RGL2",5,0,0,2,0,0,0,0
"RGMA",397,224,108,63,91,70,5,0
"RGMB",1,2,0,0,0,3,0,0
"RGMD",1361,508,272,74,227,47,62,0
"RGN",4,2,0,0,0,1,0,0
"RGP1",355,161,128,25,96,49,5,0
"RGRA",0,3,0,12,1,0,0,0
"RGRB",6,3,0,0,0,0,0,0
"RGS11",64,7,6,0,0,0,0,0
"RGS12B",584,181,127,93,27,52,0,0
"RGS14A",477,118,106,26,77,42,1,0
"RGS16",3,0,6,0,0,3,0,0
"RGS17",309,117,60,20,4,21,6,0
"RGS18",1,0,0,3,0,0,1,0
"RGS19",1,1,0,2,0,0,0,0
"RGS2",35,0,0,2,0,0,0,0
"RGS20",62,2,2,4,4,14,0,0
"RGS3A",199,67,87,44,18,50,5,0
"RGS4",49,25,18,13,1,22,0,0
"RGS5A",45,72,23,41,21,18,0,0
"RGS5B",14,13,2,3,2,5,0,0
"RGS6",6,0,0,0,0,0,0,0
"RGS7",429,67,73,31,83,50,3,0
"RGS7BPA",52,14,4,0,6,0,0,0
"RGS7BPB",14,10,4,2,6,0,0,0
"RGS8",1,1,0,1,1,0,0,0
"RGS9A",50,14,12,3,5,6,1,0
"RGS9B",5,0,0,0,2,0,1,0
"RH50",2,18,0,0,0,1,0,0
"RHAG",4,0,0,0,0,9,0,0
"RHBDD1",415,129,48,23,49,20,1,0
"RHBDD3",111,4,24,5,7,2,1,0
"RHBDF1",201,44,18,31,12,38,0,0
"RHBDL2",134,84,20,19,11,4,0,0
"RHBDL3",37,5,4,3,8,2,1,0
"RHBG",15,11,0,10,2,0,1,0
"RHCGA",5,3,1,0,0,0,0,0
"RHCGB",0,0,1,0,0,4,0,0
"RHCGL1",10,0,0,0,4,17,0,0
"RHD",49,15,16,10,15,5,0,0
"RHEB",5624,1684,1003,459,670,536,125,0
"RHO",3,0,0,0,0,0,0,0
"RHOAA",4908,1682,827,361,521,345,136,0
"RHOAB",7401,2226,1554,613,1138,1093,211,0
"RHOAC",10209,3505,1824,677,1406,990,354,0
"RHOAD",8442,2865,1521,574,1087,476,280,0
"RHOAE",4033,1436,741,263,684,374,76,0
"RHOBTB2A",570,209,110,56,66,63,5,0
"RHOF",26,1,0,4,0,0,1,0
"RHOGA",1,5,0,0,0,1,0,0
"RHOGB",25,2,0,0,0,5,0,0
"RHOGC",5233,2078,1129,462,656,501,122,0
"RHOGD",172,58,55,8,24,17,10,0
"RHOL",24,0,0,0,2,0,0,0
"RHOQ",1587,401,321,107,160,184,5,0
"RHOT1A",1382,583,310,85,300,162,37,0
"RHOT1B",27,7,17,3,4,2,0,0
"RHOT2",1124,369,242,59,88,141,13,0
"RHOUA",52,45,0,3,5,1,0,0
"RHOV",8869,1980,3176,774,1017,823,128,0
"RHPN2",894,268,151,236,93,108,13,0
"RIBC1",23,3,2,0,0,0,0,0
"RIBC2",53,13,0,6,0,0,0,0
"RIC8A",13,2,7,0,4,5,0,0
"RIC8B",673,157,111,46,67,104,5,0
"RIF1",3184,1182,576,366,535,726,68,0
"RILPL1",33,6,3,2,18,3,7,0
"RILPL2",185,103,48,25,44,34,4,0
"RIMKLA",11467,4237,2166,870,1547,1185,272,0
"RIMS3",0,1,0,0,0,2,0,0
"RINT1",297,60,38,16,53,24,2,0
"RIOK1",1985,699,391,120,178,186,19,0
"RIOK2",3446,1017,581,333,440,297,77,0
"RIOK3",562,139,147,86,72,43,25,0
"RIPK1L",110,18,16,5,6,8,0,0
"RIPK2",200,95,63,12,16,33,0,0
"RIPK4",343,115,66,218,54,133,1,0
"RIPPLY1",53,12,128,0,0,0,0,0
"RIPPLY2",37,5,118,0,14,8,2,0
"RIPPLY3",268,86,50,25,39,38,17,0
"RIT1",82,43,26,19,33,21,1,0
"RLBP1A",1,0,0,0,0,0,0,0
"RLBP1B",4,8,12,7,0,1,0,0
"RLN",30,36,6,8,3,6,0,0
"RLN1",5,11,1,1,0,5,0,0
"RLN3A",3,0,0,0,0,0,0,0
"RLTGR",27,6,5,2,3,2,0,0
"RMDN3",118,80,14,50,14,23,17,0
"RMI1",47,27,14,11,23,8,2,0
"RMND1",574,201,129,56,142,35,6,0
"RMND5B",6386,2332,1156,574,725,463,120,0
"RN7SK",878,296,141,123,164,213,18,0
"RNASEH1",909,270,105,26,95,52,4,0
"RNASEH2A",4560,1365,741,296,540,210,77,0
"RNASEH2B",880,283,112,59,70,60,27,0
"RNASEKA",1970,687,369,180,287,214,23,0
"RNASEKB",101,34,14,39,13,2,0,0
"RNASEL2",0,0,0,0,2,0,0,0
"RNASEL3",9,4,2,2,1,0,0,0
"RNASEN",510,148,100,29,43,86,31,0
"RNASET2",597,171,102,48,44,105,9,0
"RND1",16,3,0,1,2,4,0,0
"RND1L",1491,330,1794,118,132,271,22,0
"RND2",1,1,0,0,0,5,0,0
"RND3A",540,165,197,37,58,74,1,0
"RND3B",0,0,0,1,0,10,0,0
"RNF10",3849,1190,851,368,456,350,51,0
"RNF103",463,169,33,35,86,62,8,0
"RNF111",531,245,111,33,105,89,24,0
"RNF113A",455,75,96,60,71,70,6,0
"RNF114",1731,619,309,159,275,210,37,0
"RNF115",312,130,90,55,58,29,0,0
"RNF11A",1024,369,144,122,130,101,20,0
"RNF11B",665,325,74,80,80,49,7,0
"RNF126",397,137,104,51,59,70,5,0
"RNF128A",211,50,46,47,37,55,3,0
"RNF13",3411,1294,694,250,377,330,52,0
"RNF139",1108,362,280,184,176,76,26,0
"RNF14",422,249,45,24,71,64,7,0
"RNF141",624,258,142,100,62,61,15,0
"RNF144AA",5,1,0,0,0,2,0,0
"RNF144AB",56,34,17,13,9,10,0,0
"RNF145B",1679,675,396,137,252,333,46,0
"RNF146",1431,522,246,119,136,118,20,0
"RNF150A",4,1,0,0,3,0,0,0
"RNF152",29,10,6,1,2,2,0,0
"RNF168",1574,641,354,99,98,219,21,0
"RNF170",825,272,148,77,103,53,21,0
"RNF175",136,42,145,15,1,13,1,0
"RNF180",4121,1614,680,442,520,417,67,0
"RNF181",12,32,7,0,6,30,0,0
"RNF182",27,0,0,0,0,0,0,0
"RNF183",37,24,4,32,11,11,0,0
"RNF185",5247,1778,907,361,833,441,148,0
"RNF19B",14,7,2,1,0,0,0,0
"RNF2",10798,4304,1775,780,1224,1103,298,0
"RNF20",4772,1571,888,448,658,295,117,0
"RNF207B",11,13,6,5,2,1,0,0
"RNF217",47,18,44,24,23,3,2,0
"RNF220A",423,122,100,19,75,62,10,0
"RNF24",53,7,14,1,7,9,0,0
"RNF25",1632,752,264,181,176,207,80,0
"RNF32",3,0,0,0,0,2,0,0
"RNF34A",1131,315,132,56,55,34,18,0
"RNF34B",167,16,30,4,13,2,3,0
"RNF40",1443,500,265,143,266,110,26,0
"RNF41",1020,266,233,73,117,141,49,0
"RNF44",1265,496,230,80,170,98,24,0
"RNF7",450,200,33,14,68,39,0,0
"RNF8",1436,522,225,191,200,100,26,0
"RNFT1",763,444,128,158,132,140,24,0
"RNFT2",99,9,43,33,3,4,0,0
"RNGTT",1025,353,200,68,155,78,16,0
"RNLS",220,33,29,8,26,11,2,0
"RNMT",7406,2731,1141,598,923,534,160,0
"RNMTL1A",1096,304,205,79,111,63,26,0
"RNMTL1B",321,93,62,33,9,21,0,0
"RNPC3",2187,522,431,149,229,139,54,0
"RNPEP",1935,749,485,226,336,175,45,0
"RNPS1",27386,9322,5110,2406,3726,2002,535,0
"RNU11",8,6,0,0,0,0,0,0
"ROBO1",356,113,68,64,85,45,8,0
"ROBO2",25,2,3,6,2,5,0,0
"ROBO3",176,124,27,15,39,39,4,0
"ROCK1",1846,659,336,151,344,197,62,0
"ROCK2A",671,227,184,72,124,84,16,0
"ROCK2B",359,104,32,142,57,51,11,0
"ROGDI",1031,508,188,87,140,102,37,0
"ROM1A",189,78,42,23,30,18,8,0
