"","x"
"""1700016G14Rik""",321
"""1700016G22Rik""",NA
"""1700016H13Rik""",207.245832109848
"""1700016K19Rik""",9.98044086325568
"""1700016L04Rik""",NA
"""1700016L21Rik""",NA
"""1700016M24Rik""",NA
"""1700016P04Rik""",NA
"""1700017B05Rik""",36.9291744601896
"""1700017D01Rik""",NA
"""1700017G19Rik""",NA
"""1700017J07Rik""",NA
"""1700017N19Rik""",221.971134044365
"""1700018A04Rik""",117.37672209776
"""1700018A14Rik""",204.34528736877
"""1700018B08Rik""",NA
"""1700018B24Rik""",NA
"""1700018C11Rik""",321
"""1700018F24Rik""",NA
"""1700018G05Rik""",NA
"""1700018L02Rik""",61.3954360367717
"""1700018L24Rik""",NA
"""1700019A02Rik""",321
"""1700019B03Rik""",306.049141005502
"""1700019B21Rik""",NA
"""1700019D03Rik""",17.663053954756
"""1700019E08Rik""",NA
"""1700019E19Rik""",3.43087474325946
"""1700019G17Rik""",52.4172247260456
"""1700019G24Rik""",173.426623592684
"""1700019L03Rik""",123.3228886437
"""1700019M22Rik""",80.4330368676623
"""1700019N12Rik""",321
"""1700019N19Rik""",NA
"""1700019O17Rik""",NA
"""1700019P21Rik""",NA
"""1700020A23Rik""",NA
"""1700020C07Rik""",NA
"""1700020D05Rik""",132.482971929457
"""1700020G17Rik""",NA
"""1700020I14Rik""",4.9125465095628
"""1700020L24Rik""",156.980742578568
"""1700020M21Rik""",NA
"""1700020N01Rik""",NA
"""1700020N15Rik""",NA
"""1700020N18Rik""",321
"""1700020O03Rik""",17.0226953347188
"""1700021A07Rik""",NA
"""1700021C14Rik""",11.1952234284458
"""1700021F05Rik""",7.33350120456821
"""1700021F07Rik""",NA
"""1700021K19Rik""",35.4462294509338
"""1700021N21Rik""",321
"""1700021P04Rik""",NA
"""1700022A21Rik""",NA
"""1700022A22Rik""",321
"""1700022E09Rik""",NA
"""1700022H16Rik""",NA
"""1700022I11Rik""",317.235076626255
"""1700022N22Rik""",51.6121185625508
"""1700022P22Rik""",145.062302783652
"""1700023A16Rik""",321
"""1700023C21Rik""",NA
"""1700023E05Rik""",38.323389947726
"""1700023F02Rik""",130.334081943861
"""1700023F06Rik""",52.8933738384778
"""1700023L04Rik""",34.0968072022661
"""1700024B05Rik""",239.820485545561
"""1700024B18Rik""",NA
"""1700024F13Rik""",294.173613869664
"""1700024F20Rik""",139.067495715258
"""1700024G13Rik""",16.511593071268
"""1700024P03Rik""",176.740994746633
"""1700024P04Rik""",321
"""1700024P16Rik""",59.8024028981766
"""1700025B11Rik""",321
"""1700025C18Rik""",NA
"""1700025E21Rik""",281.453884810484
"""1700025F22Rik""",NA
"""1700025F24Rik""",132.897250547624
"""1700025G04Rik""",6.78134208185346
